"Country","Document","Year of Submission","Variable","Evidence"
"Italy","BTR",2024,"SystemAction","[1474 • Action] In 2022, the MASE in collaboration with ISPRA has launched the National Adaptation Platform64 which intends to foster the exchange of information between the Central Administration, Local Authorities …"
"Italy","BTR",2024,"SystemResult",NA
"Kazakhstan","BTR",2024,"HazardSystem","[2759 • System at risk] Warming in Kazakhstan is projected to occur faster than the global average, with temperatures expected to rise by 1.6 °C to 5.3 °C by the 2090s19. These changes amplify the risks of heat stress for th…"
"Kazakhstan","BTR",2024,"HazardPriority","[2830 • Adaptation priorities] Upgrading infrastructure to prevent and alleviate increasing risks of floods and droughts"
"Kazakhstan","BTR",2024,"HazardAction",NA
"Kazakhstan","BTR",2024,"HazardResult",NA
"Kazakhstan","BTR",2024,"SystemPriority","[2836 • Adaptation priorities] Increasing the forest cover of water bodies’ catchment areas is planned as one of the measures to reduce the shortage of water resources."
"Kazakhstan","BTR",2024,"SystemAction","[2827 • Action] Preventing overgrazing, and ensuring sustainable management and protection of pastures"
"Kazakhstan","BTR",2024,"SystemResult",NA
"Kenya","BTR",2024,"HazardSystem","[7520 • System at risk] The 2008 – 2011 drought is estimated to have cost Kenya USD12.1 billion, including USD 805.6 million for the destruction of physical and durable assets"
"Kenya","BTR",2024,"HazardPriority","[7601 • Adaptation priorities] Drought risk management, including drought early warning, preparedness, and response for enhanced drought resilience"
"Kenya","BTR",2024,"HazardAction","[7669 • Action] The Government operationalized the National Drought Emergency Fund (NDEF), and gazetted and sensitized the members of the County Drought and Food Security Committees (CDFSC) for county level coordinat…"
"Kenya","BTR",2024,"HazardResult","[7764 • Result] Awareness and sensitization programmes on water use efficiency continued to be implemented across counties for the purpose of enhancing water harvesting and conservation. Regular inspection of water q…"
"Kenya","BTR",2024,"SystemPriority","[7603 • Adaptation priorities] Mainstream CSA towards increased productivity through value chain approach to support the transformation of agriculture (crops, livestock and fisheries) into an innovative, commercially oriented, comp…"
"Kenya","BTR",2024,"SystemAction","[7669 • Action] The Government operationalized the National Drought Emergency Fund (NDEF), and gazetted and sensitized the members of the County Drought and Food Security Committees (CDFSC) for county level coordinat…"
"Kenya","BTR",2024,"SystemResult","[7762 • Result] In the coast of Kenya, over 600 Ha of mangrove forests were either planted or rehabilitated to protect the coastline and sustain ecosystem services for the coastal communities; this is key for their l…"
"Latvia","BTR",2024,"HazardSystem","[1505 • System at risk] Damage to buildings on the sea coast and estuaries (due to coastal erosion and flooding)"
"Latvia","BTR",2024,"HazardPriority","[1589 • Adaptation priorities] Establishment of a control system for limiting the spread of foreign invasive species, harmful substances and pathogenic organisms"
"Latvia","BTR",2024,"HazardAction","[1599 • Action] The EPG2027 is a medium-term policy planning document for the environmental protection sector. It is developed in accordance with the NDP 2027 and the strategic objectives of the European Green Deal. …"
"Latvia","BTR",2024,"HazardResult",NA
"Latvia","BTR",2024,"SystemPriority","[1588 • Adaptation priorities] Reduction of the negative impacts of climate change in ecosystems and preservation and restoration of biodiversity of species"
"Latvia","BTR",2024,"SystemAction","[1487 • Action] 14 cities and counties have developed Sustainable Energy and Climate Action Plans. These plans are consistent with National plans and strategies."
"Latvia","BTR",2024,"SystemResult","[1611 • Result] In the report “Past and future climate change in Latvia” LEGMC has analysed past climate change in Latvia and developed climate change scenarios for Latvia for the period until the year 2100"
"Lebanon","BTR",2024,"HazardSystem","[1662 • System at risk] The heatwaves of 2007 and 2010 caused temperatures to spike above 40°C for extended periods, leading to widespread forest fires and agricultural losses."
"Lebanon","BTR",2024,"HazardPriority","[1744 • Adaptation priorities] Lebanon’s National Biodiversity Strategy and Action Plan (NBSAP) 2016-2030 integrates ecosystem-based adaptation (EbA) to address climate vulnerabilities by leveraging natural ecosystems to reduce ris…"
"Lebanon","BTR",2024,"HazardAction","[1738 • Action] Watershed management plans are being developed for drought-prone regions, integrating water considerations into urban and rural land-use planning"
"Lebanon","BTR",2024,"HazardResult","[1750 • Result] 148 adaptation actions have been identified, reflecting Lebanon’s sectoral vulnerabilities, such as water scarcity exacerbated by inefficient irrigation, public health risks linked to climate-induced …"
"Lebanon","BTR",2024,"SystemPriority","[1744 • Adaptation priorities] Lebanon’s National Biodiversity Strategy and Action Plan (NBSAP) 2016-2030 integrates ecosystem-based adaptation (EbA) to address climate vulnerabilities by leveraging natural ecosystems to reduce ris…"
"Lebanon","BTR",2024,"SystemAction","[1742 • Action] The National Forest Program (2015-2025) integrates climate change adaptation into forestry management, promoting ecosystem resilience and sustainable forest management practices to mitigate the effect…"
"Lebanon","BTR",2024,"SystemResult","[1749 • Result] The development of Lebanon’s National Adaptation Strategy (NAS) and National Adaptation Plan (NAP) under the GCF NAP readiness project is contributing to advancing analysis of progress through the ass…"
"Lithuania","BTR",2024,"HazardSystem","[2875 • System at risk] Increase in diseases and pests"
"Lithuania","BTR",2024,"HazardPriority","[2898 • Adaptation priorities] To apply flood protection measures to all residents in flood-prone areas"
"Lithuania","BTR",2024,"HazardAction","[2909 • Action] As part of the implementation of the first Flood Risk Management Plan, the Water Management Program 2017–2023 and the Action Implementation Plan 2017–2023, a wide range of engineering and nonstructura…"
"Lithuania","BTR",2024,"HazardResult",NA
"Lithuania","BTR",2024,"SystemPriority","[2900 • Adaptation priorities] The proportion of dangerous, natural disasters and catastrophic meteorological events predicted is at least 90 % of the actual events."
"Lithuania","BTR",2024,"SystemAction","[2912 • Action] Workshops and stakeholder seminars were organized to facilitate discussions with municipal administration representatives and local stakeholders, including community groups and sectoral experts. Durin…"
"Lithuania","BTR",2024,"SystemResult",NA
"Luxembourg","BTR",2025,"HazardSystem","[3120 • System at risk] The risk of flooding is the most present natural risk in Luxembourg that could affect a large number of people and cause the most economic damage"
"Luxembourg","BTR",2025,"HazardPriority",NA
"Luxembourg","BTR",2025,"HazardAction",NA
"Luxembourg","BTR",2025,"HazardResult",NA
"Luxembourg","BTR",2025,"SystemPriority",NA
"Luxembourg","BTR",2025,"SystemAction",NA
"Luxembourg","BTR",2025,"SystemResult",NA
"Maldives","BTR",2024,"HazardSystem","[2971 • System at risk] On 14 May 2021, when torrential rain, strong gusts of wind, and tidal surges caused significant damage to the airport terminal, runway, and connecting causeway in HA. Hoarafushi island, halting airpor…"
"Maldives","BTR",2024,"HazardPriority","[2993 • Adaptation priorities] There is a need to collect comprehensive elevation data for future development projects to assess the impacts of sea-level rise effectively"
"Maldives","BTR",2024,"HazardAction","[3005 • Action] MMS, in coordination with the HPA, issues public health alerts on extreme heat and related health hazards through the Common Alert Protocols. For instance, on 12 March 2024, public health warnings and…"
"Maldives","BTR",2024,"HazardResult",NA
"Maldives","BTR",2024,"SystemPriority","[2952 • Adaptation priorities] Implementation and promotion of contract farming and programmes to produce crops to enhance food security by reducing the dependence on agricultural imports, thus decreasing the vulnerability to shock…"
"Maldives","BTR",2024,"SystemAction","[3068 • Action] An ongoing project Enhancing Sustainable Climate Adaptation PracticEs (ESCAPE) supported by the USAID Climate Adaptation Project (CAP) aims to carry out research to develop a set of designs and guidel…"
"Maldives","BTR",2024,"SystemResult","[3067 • Result] In 2021, the Ministry of Tourism initiated a Re-imagining Tourism project (UNDP, 2021) to enhance sustainable tourism in Laamu Atoll and the Maldives, partnering with MCCEE and UNDP. The project inclu…"
"Malta","BTR",2024,"HazardSystem","[3380 • System at risk] Malta faces water scarcity due to its semi-arid Mediterranean climate, limited rainfall, and reliance on groundwater, which is affected by nitrate pollution and seawater intrusion. Climate change exac…"
"Malta","BTR",2024,"HazardPriority",NA
"Malta","BTR",2024,"HazardAction","[3390 • Action] Studies to identify new areas for water catchment infrastructure. This study set out to identify areas where reservoirs and retention systems can be developed (preferably located within the urban cont…"
"Malta","BTR",2024,"HazardResult",NA
"Malta","BTR",2024,"SystemPriority",NA
"Malta","BTR",2024,"SystemAction","[3386 • Action] A comprehensive study of the current hydrological cycle monitoring capacity and new hydrological data modelling and management. This measure involves a study which aims to better understand the hydrol…"
"Malta","BTR",2024,"SystemResult",NA
"Mauritius","BTR",2024,"HazardSystem","[3432 • System at risk] Reduced food security through: Lower total catch size, Increased toxicity of fish catch (algae related), and - Cyclones preventing fishermen going to sea and destroying boats and equipment"
"Mauritius","BTR",2024,"HazardPriority","[3458 • Adaptation priorities] Devising strategies and policies to facilitate the uptake of Integrated Pest and Disease Management (IPDM) practices"
"Mauritius","BTR",2024,"HazardAction",NA
"Mauritius","BTR",2024,"HazardResult",NA
"Mauritius","BTR",2024,"SystemPriority","[3446 • Adaptation priorities] Mauritius is in the process of developing a comprehensive and cross-cutting National Adaptation Plan. Mauritius intends to develop complete and comprehensive vulnerability assessments across the ident…"
"Mauritius","BTR",2024,"SystemAction",NA
"Mauritius","BTR",2024,"SystemResult","[3470 • Result] The MauRegistry is an effective tracking tool. Developed as an online platform to track NDC action plan, it will be used for monitoring and evaluation of adaptation actions and effectiveness of proces…"
"Mexico","BTR",2024,"HazardSystem","[6332 • System at risk] In 2021, hydrometeorological phenomena, mainly tropical cyclones, severe rains and floods affected 196 municipalities in the country, of which 31.1% have a high degree of arginalization, while 10.8% …"
"Mexico","BTR",2024,"HazardPriority","[6335 • Adaptation priorities] Reduce the impacts on the human health of the population due to effects and diseases (dengue, heat stroke, among others) others) related to climate change"
"Mexico","BTR",2024,"HazardAction",NA
"Mexico","BTR",2024,"HazardResult",NA
"Mexico","BTR",2024,"SystemPriority","[6347 • Adaptation priorities] Reverse degradation, loss and pollution of ecosystems natural in order to reduce the vulnerability of the population and biodiversity in the face of effects of climate change, through Payment for Serv…"
"Mexico","BTR",2024,"SystemAction","[6348 • Action] The Government of Mexico promotes good practices management and active conservation in the country's forest ecosystems through Payment for Environmental Services (PES) to owners and possessors of fore…"
"Mexico","BTR",2024,"SystemResult","[6349 • Result] Through the National Forestry Commission (CONAFOR) in 2022, 221 projects were benefited, of which 92% correspond to ejidos and communities, and 8% to small landowners forest lands with voluntary commi…"
"Moldova","BTR",NA,"HazardSystem","[4083 • System at risk] In 2020 and 2022, a persistent lack of precipitation affected large parts of the RoM, together with higher-thanaverage temperatures, lead to a severe-to-extreme drought with highest registered negativ…"
"Moldova","BTR",NA,"HazardPriority","[4174 • Adaptation priorities] Development of varieties and hybrids resistant to drought and heat"
"Moldova","BTR",NA,"HazardAction",NA
"Moldova","BTR",NA,"HazardResult","[4167 • Result] From the 50 thousand ha of land envisaged to be protected by robust anti-erosion strips as provided in the Action Plan, over the 2013-2018 period, protected agricultural area increased by only 1,020 h…"
"Moldova","BTR",NA,"SystemPriority","[4160 • Adaptation priorities] Supporting use of renewable energy sources within agricultural holdings, including use of plant residue and animal waste"
"Moldova","BTR",NA,"SystemAction","[4162 • Action] The program of measures of the first cycle of the Dniester River Basin District Management Plan (2017-2022)155 focuses on improving the legal and informational framework in the field of water, but als…"
"Moldova","BTR",NA,"SystemResult","[4163 • Result] The program of measures of the first cycle of the Dniester River Basin District Management Plan (2017-2022)155 focuses on improving the legal and informational framework in the field of water, but als…"
"Monaco","BTR",2025,"HazardSystem","[6359 • System at risk] The increasing presence of Aedes mosquitoes, vectors of diseases such as dengue and chikungunya, is another manifestation of climate impacts. These Mosquitoes proliferate in warmer and more humid clim…"
"Monaco","BTR",2025,"HazardPriority","[6448 • Adaptation priorities] To protect the population from the effects of extreme heat"
"Monaco","BTR",2025,"HazardAction","[6435 • Action] Development of two urban heat networks"
"Monaco","BTR",2025,"HazardResult",NA
"Monaco","BTR",2025,"SystemPriority","[6430 • Adaptation priorities] Implementation of subsidies and labels for encourage energy audits of buildings."
"Monaco","BTR",2025,"SystemAction","[6452 • Action] In 2017, in order to support the Principality's energy transition towards its autonomy by 2025, the Prince's Government and SMEG have created the MER company. This initiative aims to diversify the sou…"
"Monaco","BTR",2025,"SystemResult","[6453 • Result] In 2022, nearly 77% of Monaco's electricity consumption came from sources renewables, with MER playing a central role in this evolution."
"Montenegro","BTR",2024,"HazardSystem","[3540 • System at risk] Reducing precipitation reduces the available water and reduces its level in coastal wetlands, while on the other hand, flooding leads to significant economic damage and intensifies erosion processes"
"Montenegro","BTR",2024,"HazardPriority","[3549 • Adaptation priorities] A number of technical measures were also taken to protect against sea level rise and control erosion, as well as to improve the system of early warning and warnings of floods and storms"
"Montenegro","BTR",2024,"HazardAction",NA
"Montenegro","BTR",2024,"HazardResult",NA
"Montenegro","BTR",2024,"SystemPriority","[3564 • Adaptation priorities] Improvement of the planning process and improvement and development of water supply and sewerage system infrastructure"
"Montenegro","BTR",2024,"SystemAction","[3594 • Action] A proposal for the Forest and Forestry Development Strategy of Montenegro for the period 2025-2030 was drafted. This Strategy defines the conservation and strengthening of forests' capacity for resili…"
"Montenegro","BTR",2024,"SystemResult",NA
"Morocco","BTR",2024,"HazardSystem","[6940 • System at risk] Landslides could cause damage to structures and infrastructure, disrupt waterways with displaced materials, affect the quality and water availability, and alter the geological structure of the subsoil…"
"Morocco","BTR",2024,"HazardPriority","[6944 • Adaptation priorities] Sustainable management of water resources: Water management is essential to make in the face of the scarcity of water resources, aggravated by droughts and climate change. This involves adopting water…"
"Morocco","BTR",2024,"HazardAction",NA
"Morocco","BTR",2024,"HazardResult","[6965 • Result] Implementation of an integrated pilot system to support flood risk management in four pilot areas, including the city of Mohammedia, the Province of Kenitra, the Ourika Valley and the province of Guel…"
"Morocco","BTR",2024,"SystemPriority","[6944 • Adaptation priorities] Sustainable management of water resources: Water management is essential to make in the face of the scarcity of water resources, aggravated by droughts and climate change. This involves adopting water…"
"Morocco","BTR",2024,"SystemAction","[6969 • Action] Extension of irrigation"
"Morocco","BTR",2024,"SystemResult","[6965 • Result] Implementation of an integrated pilot system to support flood risk management in four pilot areas, including the city of Mohammedia, the Province of Kenitra, the Ourika Valley and the province of Guel…"
"Namibia","BTR",2024,"HazardSystem","[894 • System at risk] Reduced and inconsistent rainfall has led to prolonged droughts, severely affecting crop yields and pasture availability. Conversely, occasional intense rainfall events have caused flooding, soil eros…"
"Namibia","BTR",2024,"HazardPriority","[987 • Adaptation priorities] Improve disease management"
"Namibia","BTR",2024,"HazardAction",NA
"Namibia","BTR",2024,"HazardResult","[1008 • Result] In agriculture, climate-smart farming practices introduced through internationally supported projects have shown promise in improving crop yields and enhancing food security in areas affected by droug…"
"Namibia","BTR",2024,"SystemPriority","[989 • Adaptation priorities] Education, training and public awareness"
"Namibia","BTR",2024,"SystemAction",NA
"Namibia","BTR",2024,"SystemResult","[1008 • Result] In agriculture, climate-smart farming practices introduced through internationally supported projects have shown promise in improving crop yields and enhancing food security in areas affected by droug…"
"Nepal","BTR",2025,"HazardSystem","[3898 • System at risk] Rural and urban settlements face heightened risks from floods, landslides, and extreme weather, worsened by unplanned urbanization and inadequate infrastructure."
"Nepal","BTR",2025,"HazardPriority","[3919 • Adaptation priorities] Disaster Preparedness: Reducing community vulnerability to floods, landslides, and extreme weather."
"Nepal","BTR",2025,"HazardAction","[4036 • Action] Updated building codes for seismic and flood-resilient infrastructure"
"Nepal","BTR",2025,"HazardResult","[3998 • Result] 66 flood warning systems operational across major river basins"
"Nepal","BTR",2025,"SystemPriority","[4023 • Adaptation priorities] Improving Resilience of Water Supply Infrastructure"
"Nepal","BTR",2025,"SystemAction","[4027 • Action] Development of the Bipad Portal: A disaster management information system consolidating hazard, risk, and vulnerability data."
"Nepal","BTR",2025,"SystemResult","[4024 • Result] 88% of households has sufficient water availability."
"Nigeria","BTR",2024,"HazardSystem",NA
"Nigeria","BTR",2024,"HazardPriority","[1015 • Adaptation priorities] Increase access to drought resistant crops and livestock feeds; adopt better management practices."
"Nigeria","BTR",2024,"HazardAction",NA
"Nigeria","BTR",2024,"HazardResult",NA
"Nigeria","BTR",2024,"SystemPriority","[1017 • Adaptation priorities] Intensify programmes to survey water quality and quantity for both ground and surface water"
"Nigeria","BTR",2024,"SystemAction",NA
"Nigeria","BTR",2024,"SystemResult",NA
"Norway","BTR",2025,"HazardSystem","[3660 • System at risk] More precipitation, especially over short periods of time, increases the risk of stormwater and of more frequent and extensive rainwater flooding. Periods of heavy precipitation may result in more lan…"
"Norway","BTR",2025,"HazardPriority","[3680 • Adaptation priorities] Handling stormwater in cities and towns"
"Norway","BTR",2025,"HazardAction","[3699 • Action] As a follow-up on the measures proposed in the Storm Water report presented in 2015 (NOU 2015: 16), the Government has made changes in the Planning and Building Act regarding regulation for stormwater…"
"Norway","BTR",2025,"HazardResult",NA
"Norway","BTR",2025,"SystemPriority","[3684 • Adaptation priorities] Safeguard Sami interests and use indigenous peoples’ knowledge in climate change adaptation efforts"
"Norway","BTR",2025,"SystemAction","[3689 • Action] The web-based information portal klimatilpasning.no was established in 2008. The portal supports the Norwegian society in preparing for the consequences of climate change."
"Norway","BTR",2025,"SystemResult",NA
"Panama","BTR",2024,"HazardSystem","[6603 • System at risk] Risk of drought and alteration of the hydrological regime"
"Panama","BTR",2024,"HazardPriority","[6650 • Adaptation priorities] Implement measures to protect public health climate impacts, such as waves of heat, transmitted diseases by vectors and climatic events extremes."
"Panama","BTR",2024,"HazardAction",NA
"Panama","BTR",2024,"HazardResult",NA
"Panama","BTR",2024,"SystemPriority","[6639 • Adaptation priorities] By 2025, an agroclimatic information system will have been created for the Agricultural Sector, from the establishment of hydro and agrometeorological stations, a climate data center and the launching…"
"Panama","BTR",2024,"SystemAction",NA
"Panama","BTR",2024,"SystemResult",NA
"Paraguay","BTR",2024,"HazardSystem","[6717 • System at risk] Wetlands, such as those of the Pantanal and the riparian areas of the Paraguay River, are particularly at risk due to prolonged droughts. These ecosystems are home to a large number of endemic species…"
"Paraguay","BTR",2024,"HazardPriority","[6735 • Adaptation priorities] It is still necessary to advance in research for development of varieties of agricultural species and improved forestry genetics, with greater tolerance to droughts and climatic variability"
"Paraguay","BTR",2024,"HazardAction","[6723 • Action] Efforts are being made to have an analysis of the vulnerability of the health system front to climate risks more relevant, such as waves of heat, droughts, intense rains, floods and storms, identifyin…"
"Paraguay","BTR",2024,"HazardResult",NA
"Paraguay","BTR",2024,"SystemPriority","[6735 • Adaptation priorities] It is still necessary to advance in research for development of varieties of agricultural species and improved forestry genetics, with greater tolerance to droughts and climatic variability"
"Paraguay","BTR",2024,"SystemAction","[6725 • Action] Progress is highlighted significant in forest restoration and service training environmental, integrating transverse axes such as the participation of indigenous people."
"Paraguay","BTR",2024,"SystemResult","[6751 • Result] Advances in the installation of systems for water and transport monitoring."
"Peru","BTR",2024,"HazardSystem","[6763 • Hazard] For precipitation, the scenario projects an annual reduction in most of the national territory, with the exception of the north coast, where there would be an increase in intensity in the range of 30 …"
"Peru","BTR",2024,"HazardPriority","[6813 • Adaptation priorities] Reduce the vulnerability of the population to the dangers associated with climate change through: (i) access to epidemiological information that incorporates climate scenarios; and ii) the transfer of…"
"Peru","BTR",2024,"HazardAction","[6843 • Action] Integrated pest and disease management in crops and preventive management of diseases in breeding, with greater vulnerability to climate change."
"Peru","BTR",2024,"HazardResult","[6839 • Result] Guano is offered at a social price, mainly to small farmers and native communities to contribute to resilience and agricultural sustainability in the face of pests and extreme weather events."
"Peru","BTR",2024,"SystemPriority","[6814 • Adaptation priorities] Adapt health services to the occurrence of hazards associated with change climate change through the implementation of preventive and response strategies, in such a way that health coverage and servic…"
"Peru","BTR",2024,"SystemAction","[6843 • Action] Integrated pest and disease management in crops and preventive management of diseases in breeding, with greater vulnerability to climate change."
"Peru","BTR",2024,"SystemResult","[6836 • Result] Of the 37 reporting EPS, 3 have a valid approved PMACC, 5 are in the process of being formulated, and 7 are being updated. In addition, 23 EPS have planned to formulate or update their PMACCs in 2024;…"
"Phillipines","BTR",NA,"HazardSystem","[1097 • System at risk] The financial ramifications of the 2020 tropical cyclone season were significant. Damage to infrastructure and agriculture totaled USD 891.14 million (PHP 44.22 billion), with infrastructure bearing t…"
"Phillipines","BTR",NA,"HazardPriority","[1131 • Adaptation priorities] Strengthen water, sanitation, and hygiene (WASH) protocols and prioritize access to health services in post-disaster and makeshift areas. Enhance and expand concrete actions to improve WASH, while ens…"
"Phillipines","BTR",NA,"HazardAction",NA
"Phillipines","BTR",NA,"HazardResult",NA
"Phillipines","BTR",NA,"SystemPriority","[1104 • Adaptation priorities] Strengthen infrastructure resilience. All critical infrastructure must be strengthened to withstand the impacts of climate change and its extremes and to ensure the sustainability of the systems cruci…"
"Phillipines","BTR",NA,"SystemAction",NA
"Phillipines","BTR",NA,"SystemResult",NA
"Poland","BTR",2024,"HazardSystem","[3733 • System at risk] When wind strength increases, storms may occur on the Baltic Sea, causing coastal damage (cliff subsidence, beach loss, damage to biotechnical buildings) and flooding at river mouths caused by backwat…"
"Poland","BTR",2024,"HazardPriority","[3796 • Adaptation priorities] Improving flood protection through the implementation of both non-technical and technical investments"
"Poland","BTR",2024,"HazardAction","[3804 • Action] Investments contributing to the protection of the environment and the climate (watering holes for animals, installations to improve ventilation or lower the temperature in livestock buildings, hail ne…"
"Poland","BTR",2024,"HazardResult","[3850 • Result] Flood hazard maps and flood risk maps as well as flood risk management plans (FRMP) have been developed to reduce the potential negative impacts of floods"
"Poland","BTR",2024,"SystemPriority","[3797 • Adaptation priorities] Taking measures to ensure that Polish citizens have access to healthy, cheap drinking water"
"Poland","BTR",2024,"SystemAction","[3808 • Action] Implementation of ecoschemes: (carbon farming and nutrient management, water retention on permanent grassland, land taken out of production, including land taken out of production involving establishe…"
"Poland","BTR",2024,"SystemResult","[3845 • Result] The extent to which climate change adaptation has been integrated into the actions of the different sectors varies widely. Most action has been taken at government level in the energy and environment …"
"Portugal","BTR",2024,"HazardSystem","[4212 • System at risk] The rise in temperature and the prolonged periods of drought are also likely to be responsible for the increase in the number of rural fires, especially the number of large forest fires (>= 10,000 ha)…"
"Portugal","BTR",2024,"HazardPriority","[4266 • Adaptation priorities] In addition to fire protection measures, the region has been carrying out remedial work on river basins, especially in areas with a higher risk of erosion and landslides, strengthening the protection …"
"Portugal","BTR",2024,"HazardAction",NA
"Portugal","BTR",2024,"HazardResult",NA
"Portugal","BTR",2024,"SystemPriority","[4266 • Adaptation priorities] In addition to fire protection measures, the region has been carrying out remedial work on river basins, especially in areas with a higher risk of erosion and landslides, strengthening the protection …"
"Portugal","BTR",2024,"SystemAction","[4265 • Action] In an area previously occupied by highly flammable species such as eucalyptus and acacia, more fireresistant native species have been planted, helping to restore biodiversity and create a more fireres…"
"Portugal","BTR",2024,"SystemResult",NA
"Russia","BTR",NA,"HazardSystem","[7011 • System at risk] The impact of climatic factors on the healthcare system in the Russian Federation includes the impact on the health of the population, the level of morbidity and mortality (negative impact on the cour…"
"Russia","BTR",NA,"HazardPriority",NA
"Russia","BTR",NA,"HazardAction",NA
"Russia","BTR",NA,"HazardResult",NA
"Russia","BTR",NA,"SystemPriority","[7066 • Adaptation priorities] Timely identification and assessment of climate change-related threats to sustainable development development and security of the Russian Federation, including threats to defense capability, the econo…"
"Russia","BTR",NA,"SystemAction","[7067 • Action] A methodological base in the field of adaptation has been formed, including a unified methodology for assessing climate risks, ranking measures for adaptation to these risks, and development of adapta…"
"Russia","BTR",NA,"SystemResult",NA
"Rwanda","BTR",2024,"HazardSystem","[42 • System at risk] Damage to crops, roads, and agricultural infrastructure; degraded agricultural lands; and loss of livestock from heavy rainfall, flooding, landslides, and soil erosion"
"Rwanda","BTR",2024,"HazardPriority","[85 • Adaptation priorities] Disease prevention, diagnostic, surveillance and control"
"Rwanda","BTR",2024,"HazardAction",NA
"Rwanda","BTR",2024,"HazardResult","[102 • Result] From 2018 to 2023, Rwanda's agriculture sector achieved significant progress in adaptation activities, particularly through the adoption of improved agricultural practices such as soil erosion control…"
"Rwanda","BTR",2024,"SystemPriority","[83 • Adaptation priorities] Developing climate-resilient crops and promoting climate-resilient livestock"
"Rwanda","BTR",2024,"SystemAction","[73 • Action] In 2023, GIZ in partnership with MoE initiated a new template ‘’ Rwanda NDC Finance Flow’ to track the information on financial flows for mitigation and adaptation initiative in Rwanda. The tool allow…"
"Rwanda","BTR",2024,"SystemResult","[98 • Result] Promoting climate-smart agriculture (support watershed management, agricultural inputs including improved climate resilience seeds, compost fertilisers and capacity building for farmers)"
"Serbia","BTR",2024,"HazardSystem","[4295 • System at risk] More than half of the areas reforested between 2019 and 2022, whose afforestation was founded through subsidies by the Forestry Directorate, have withered due to unfavourable weather conditions (water…"
"Serbia","BTR",2024,"HazardPriority","[4323 • Adaptation priorities] Increasing the total amount of subsidies for anti-hail nets, shading nets, and frost protection systems, as well as for the construction and adjustment of facilities for livestock housing to address i…"
"Serbia","BTR",2024,"HazardAction",NA
"Serbia","BTR",2024,"HazardResult",NA
"Serbia","BTR",2024,"SystemPriority","[4294 • Adaptation priorities] Adopting new practices in agricultural sector is necessary to increase resilience to climate change and mitigate negative impacts on soil, water and air"
"Serbia","BTR",2024,"SystemAction",NA
"Serbia","BTR",2024,"SystemResult","[4387 • Result] Preparation of Scientific Reports: Between 2020 and 2022, specialized reports were developed on climate change impacts, sectoral vulnerabilities and risks, and gaps, providing recommendations for next…"
"Seychelles","BTR",2025,"HazardSystem","[3295 • System at risk] From a social and environmental perspective, many communities in Seychelles rely on healthy coastal ecosystems for fishing and tourism, and climate-induced degradation threatens these livelihoods. The…"
"Seychelles","BTR",2025,"HazardPriority","[3322 • Adaptation priorities] Establishing permanent monitoring plots to track invasive species and climate indicators"
"Seychelles","BTR",2025,"HazardAction","[3212 • Action] In response to escalating flood risks, the Flood Free Seychelles initiative was launched in 2022 as a critical extension of the Flood Free Victoria Project."
"Seychelles","BTR",2025,"HazardResult","[3267 • Result] Several farmers have successfully diversified their production systems, incorporating agroforestry approaches that provide better resilience against both climate extremes and emerging pest pressures."
"Seychelles","BTR",2025,"SystemPriority","[3324 • Adaptation priorities] The incorporation of advanced technologies (e.g., use of passive acoustic monitoring devices, miniature trackers, thermal cameras) for biodiversity monitoring would significantly enhance these efforts"
"Seychelles","BTR",2025,"SystemAction","[3308 • Action] The small island nation is developing a robust policy framework, anchored on the draft Blue Carbon Policy (2024), which provides comprehensive guidance for conserving these ecosystems while creating a…"
"Seychelles","BTR",2025,"SystemResult","[3213 • Result] The raising of the La Gogue Dam has increased its storage capacity by 60%."
"Slovakia","BTR",2024,"HazardSystem","[4527 • System at risk] Summer tourism in the southern parts of the Slovak Republic : drought may affect summer water sports"
"Slovakia","BTR",2024,"HazardPriority",NA
"Slovakia","BTR",2024,"HazardAction",NA
"Slovakia","BTR",2024,"HazardResult",NA
"Slovakia","BTR",2024,"SystemPriority","[4565 • Adaptation priorities] Raising public awareness and building knowledge for adaptation: • Promote public-private dialogue and awareness, training and education. • Establish an official web portal among others for verified in…"
"Slovakia","BTR",2024,"SystemAction",NA
"Slovakia","BTR",2024,"SystemResult",NA
"Slovenia","BTR",2025,"HazardSystem","[4590 • System at risk] An additional risk is the rise of ""flash droughts"" in summer, which rapidly develop during heatwaves and severely impact crop yields."
"Slovenia","BTR",2025,"HazardPriority","[4606 • Adaptation priorities] Expanding flood protection"
"Slovenia","BTR",2025,"HazardAction","[4624 • Action] Several new projects are currently under way, including the construction of 1.2 km of forest fire roads, 40.4 km of fire-break paths, four helicopter landing areas for emergency response outside airpo…"
"Slovenia","BTR",2025,"HazardResult",NA
"Slovenia","BTR",2025,"SystemPriority","[4605 • Adaptation priorities] Improving water resource management"
"Slovenia","BTR",2025,"SystemAction","[4624 • Action] Several new projects are currently under way, including the construction of 1.2 km of forest fire roads, 40.4 km of fire-break paths, four helicopter landing areas for emergency response outside airpo…"
"Slovenia","BTR",2025,"SystemResult",NA
"South Africa","BTR",2024,"HazardSystem","[8516 • Hazard] Further evidence shows that South Africa has been warming at 1.5-times the global warming rate (Wolski, P. 2019)."
"South Africa","BTR",2024,"HazardPriority","[8705 • Adaptation priorities] Early Warning Systems and Surveillance: • Strategy: Develop and implement early warning systems for extreme weather events, vector-borne diseases, and heatwaves"
