"Country","Document","ElementText","HazardType"
"Greece","BTR","<span title='All the temperature-related hazards are expected to increase in the future, with the exception of cold waves/frost that are expected to be significantly decreasing.'>All the temperature-related hazards are expected t...</span>","Extreme temperature"
"Greece","BTR","Cyclones","Storm"
"Greece","BTR","Storms","Storm"
"Greece","BTR","<span title='Drought, heavy precipitation events, floods and snow and ice load have been observed'>Drought, heavy precipitation events, floods and sn...</span>","Extreme temperature;Drought;Flood;Change in precipitation"
"Greece","BTR","<span title='The trend is expected to be increasing for droughts and floods, but it remains uncertain for heavy precipitation.'>The trend is expected to be increasing for drought...</span>","Drought;Flood;Change in precipitation"
"Greece","BTR","<span title='With regards to sea level rise and saline intrusion their trend is projected to be increasing in the future.'>With regards to sea level rise and saline intrusio...</span>","Sea level rise"
"Greece","BTR","<span title='Landslide problems have been commonly reported in the recent years and the trend is projected to increase'>Landslide problems have been commonly reported in ...</span>","Landslide"
"Greece","BTR","<span title='According to the Annual Bulletins on the Climate in Greece of years 2014-2023 of the Hellenic National Meteorological Service, the main climate extremes refer to heat waves, high precipitation and flooding events, cyclones, sandstorms and landslides'>According to the Annual Bulletins on the Climate i...</span>","Extreme temperature;Storm;Landslide;Flood;Change in precipitation"
"Greece","BTR","<span title='In February 2021 the extreme snowfall caused important problems in transport and electricity due to the fall of trees over the network.'>In February 2021 the extreme snowfall caused impor...</span>","Extreme temperature"
"Greece","BTR","<span title='The two most severe heat waves occurred in July 2021 and 2023'>The two most severe heat waves occurred in July 20...</span>","Extreme temperature"
"Greece","BTR","<span title='Temperature increase and rainfall decrease make forest areas of the country drier, and therefore more vulnerable to forest fires.'>Temperature increase and rainfall decrease make fo...</span>","Wildfire;Change in temperature;Change in precipitation"
"Greece","BTR","<span title='Minimum winter temperatures in all of Greece’s regions are projected to be ~1.5 oC higher in 2021-2050 and ~3.5 oC higher in 2071-2100, than in the reference period 1961-1990.'>Minimum winter temperatures in all of Greece’s reg...</span>",""
"Greece","BTR","<span title='The increase in mean maximum summer temperatures in the period 2021-2050 is projected to be higher than that of the winter minimums and exceed 1.5 oC, while in some cases is projected to reach up to 2.5 oC. In the period 2071-2100, the increase in mean maximum summer temperatures may be as much as 5 oC.'>The increase in mean maximum summer temperatures i...</span>",""
"Israel","BTR","<span title='According to Israel’s Meteorological Service, and models by Israel’s Oceanographic and Limnological Research Center which have relied on the SSP5-8.5 scenario, the following is expected: an increase in the average temperature by approximately 3.5 degrees Celsius (relative to the past two decades), a reduction in the amount of precipitation, and the amount of rainy days, by an average rate of 20% - 25% and lastly an increase in extreme weather events such as heatwaves, floods and torrential rains'>According to Israel’s Meteorological Service, and ...</span>","Extreme temperature;Storm;Flood;Change in temperature;Change in precipitation"
"Israel","BTR","<span title='The past 30 years have seen an average rise in temperature at a rate of approximately 0.6 degrees Celsius per decade - a trend that is expected to continue'>The past 30 years have seen an average rise in tem...</span>","Change in temperature"
"Israel","BTR","<span title='Israel experienced a severe heatwave. Devastating effects were felt, for example, in the northern part of the country, many farmers experienced a loss of livestock - in total over 10,000 chickens died.'>Israel experienced a severe heatwave. Devastating ...</span>","Extreme temperature"
"Israel","BTR","<span title='The climate model predictions of the Mediterranean basin show a general decreasing trend in the amount of annual precipitation until the end of the 21st century'>The climate model predictions of the Mediterranean...</span>","Change in precipitation"
"Israel","BTR","<span title='2021 saw a forest fire just outside of Jerusalem. The wildfire consumed around 25,000 dunams (6,200 acres) of forest. This had both a human and environmental impact. There was severe damage caused to the ecosystem in the surrounding area, as well as damage to property.'>2021 saw a forest fire just outside of Jerusalem. ...</span>","Wildfire"
"Israel","BTR","<span title='In recent decades changes have been observed in the level of the Mediterranean Sea. It has risen by 14.9 cm over the past 19 years. Observations from the last 40 years indicate that the temperature of the upper water mass has risen by approximately 0.13°C per year'>In recent decades changes have been observed in th...</span>","Sea level rise"
"Israel","BTR","<span title='The rising sea level will change the coastline, reduce the seafront, damage infrastructure, contribute to the destruction of the coastal cliff and negatively impact tourism. Additionally, it increases the likelihood of flooding, specifically in shallow coastal areas, as well as shifts the saltwater-freshwater interface inland. This enables the penetration of seawater into the estuaries (mouth of the river) disrupting the ability to extract groundwater'>The rising sea level will change the coastline, re...</span>","Flood;Salinization;Sea level rise"
"Israel","BTR","<span title='In April 2023 there was a cliff retreat in Netanya, one of the coastal cities in Israel, that occurred by the seaside promenade.'>In April 2023 there was a cliff retreat in Netanya...</span>",""
"Israel","BTR","<span title='Extreme weather phenomena will become more frequent and more severe. It is manifested in prolonged heat waves, extensive forest fires and record events of precipitation and storms. Upon examination of the extreme events that occurred in Israel over the past two decades, there has been a significant increase in the frequency and intensity of heat waves.'>Extreme weather phenomena will become more frequen...</span>","Extreme temperature;Storm;Wildfire;Change in precipitation"
"Israel","BTR","<span title='In April 2018, a pre-military preparatory school, consisting of youth between the ages of 17- 18, lost 10 participants. This disaster was a result of an intense flash flood that occurred where they were hiking, in the Tzafit stream, in the south of Israel.'>In April 2018, a pre-military preparatory school, ...</span>","Flood"
"Latvia","BTR","<span title='During the year 2023, several rapid temperature fluctuations were observed'>During the year 2023, several rapid temperature fl...</span>",""
"Latvia","BTR","<span title='Annual precipitation amount exceeded the 1991−2020 normal despite a drought in May and June, when May became the 1st and June the 2nd driest month on record.'>Annual precipitation amount exceeded the 1991−2020...</span>","Drought;Change in precipitation"
"Latvia","BTR","<span title='During the latter half of the summer, a series of robust thunderstorms transpired, culminating in an instance where annual peak wind gusts reached 32.6 m/s.'>During the latter half of the summer, a series of ...</span>","Storm"
"Latvia","BTR","<span title='Annual mean air temperature in Latvia was +7.8 °C, which is 1.0 °C above the 1991−2020 normal, therefore 2023 was the 3rd warmest on record (since 1924)'>Annual mean air temperature in Latvia was +7.8 °C,...</span>",""
"Latvia","BTR","<span title='Changes in seasons, including the vegetation period growing season'>Changes in seasons, including the vegetation perio...</span>",""
"Latvia","BTR","Fire hazard","Wildfire"
"Latvia","BTR","<span title='Proliferation of pests and pathogens, tree diseases, expulsion of local species, entering of new species'>Proliferation of pests and pathogens, tree disease...</span>","Pest and disease"
"Latvia","BTR","Spread of diseases of the respiratory system","Pest and disease"
"Latvia","BTR","Spread of infectious diseases, heat strokes","Pest and disease"
"Latvia","BTR","Flood caused by precipitation, wind surges","Flood;Change in precipitation"
"Latvia","BTR","Occurrence of disturbances in electricity supply",""
"Latvia","BTR","Increased run-off, hydropower variations",""
"Latvia","BTR","Reduction of frost, black frost, drying of soil","Extreme temperature"
"Latvia","BTR","Eutrophication",""
"Latvia","BTR","<span title='Damages to infrastructures, overheating of equipment'>Damages to infrastructures, overheating of equipme...</span>",""
"Latvia","BTR","Decreased run-off during summer",""
"Latvia","BTR","<span title='Increase in average annual air temperature, increase in the frequency and duration of heat waves, extension of the meteorological summer, increase in the maximum value of the daily maximum temperature'>Increase in average annual air temperature, increa...</span>","Extreme temperature;Change in temperature"
"Latvia","BTR","<span title='Increase in precipitation and increase in the maximum amount of precipitation per day, increase in the number of days with very heavy precipitation, increase in the maximum amount of precipitation per five days, increase in snowfall above normal'>Increase in precipitation and increase in the maxi...</span>","Extreme temperature;Change in precipitation"
"Latvia","BTR","<span title='Long-term average sea level rise and development of coastal erosion, as well as groundwater level fluctuations affected by changes in precipitation and sea level, and changes in river run-off patterns'>Long-term average sea level rise and development o...</span>","Change in precipitation;Land degradation;Sea level rise"
"Latvia","BTR","<span title='Increase in the number of summer days, tropical nights, duration and frequency of heat waves, continuous increase in the frequency and duration of droughts'>Increase in the number of summer days, tropical ni...</span>","Extreme temperature;Drought"
"Latvia","BTR","Increase in maximum wind gusts",""
"Latvia","BTR","<span title='Increase in the number of days with very heavy precipitation, an increase in the maximum daily precipitation and a decrease in the amount of annual precipitation in the form of snow'>Increase in the number of days with very heavy pre...</span>","Extreme temperature;Change in precipitation"
"Latvia","BTR","Forest and peat bog fires","Wildfire"
"Latvia","BTR","Storms and storm surges","Storm"
"Latvia","BTR","Heavy rainfall and floods","Storm;Flood;Change in precipitation"
"Latvia","BTR","Floods caused by spring floods and ice jams","Extreme temperature;Flood"
"Latvia","BTR","<span title='Increase in the average temperature, as a result of which the spring / summer / autumn seasons could be extended, while the duration of winter will decrease'>Increase in the average temperature, as a result o...</span>","Change in temperature"
"Latvia","BTR","<span title='Increase in the total annual amount of precipitation, increase in the frequency of heavy rains, increase in the water temperature of rivers, lakes and other water bodies'>Increase in the total annual amount of precipitati...</span>","Storm;Change in precipitation;Sea temperature"
"Latvia","BTR","<span title='Increase in the frequency and duration of heat waves'>Increase in the frequency and duration of heat wav...</span>","Extreme temperature"
"Latvia","BTR","Increased risk of heat stroke",""
"Latvia","BTR","<span title='Risk of exacerbation of chronic diseases (cardiovascular diseases, diabetes, etc.) and possible increase in number of deaths'>Risk of exacerbation of chronic diseases (cardiova...</span>","Pest and disease"
"Latvia","BTR","<span title='Increase in air temperature, increase in the minimum air temperature in winter'>Increase in air temperature, increase in the minim...</span>",""
"Latvia","BTR","<span title='Increase in water temperature and water level, increase in the frequency of surface water level fluctuations'>Increase in water temperature and water level, inc...</span>","Sea temperature"
"Latvia","BTR","<span title='Earlier onset of the spring, extension of the summer season'>Earlier onset of the spring, extension of the summ...</span>",""
"Latvia","BTR","<span title='Changes in precipitation (increase in certain seasons), greater probability of more frequent and longer periods of drought, decrease of snow cover'>Changes in precipitation (increase in certain seas...</span>","Extreme temperature;Drought;Change in precipitation"
"Latvia","BTR","<span title='Increased frequency of extreme weather events and weather contrast'>Increased frequency of extreme weather events and ...</span>","Extreme temperature"
"Latvia","BTR","<span title='Increase in average air temperature in winters and decrease in the duration of the meteorological winter, increase in average air temperature in summers and an increase in the duration of meteorological summer, an increase in the probability of more frequent and longer periods of drought in the summers; increase in number of days with very high temperatures in summer'>Increase in average air temperature in winters and...</span>","Extreme temperature;Drought"
"Latvia","BTR","<span title='Increase in total annual precipitation, changes in the amount of precipitation in the summer months, increase in the probability of sudden and severe thunderstorms in summer'>Increase in total annual precipitation, changes in...</span>","Storm;Change in precipitation"
"Latvia","BTR","<span title='Greater uncertainty of snow cover thickness, decrease in the number of days with frozen soil, formation of air mass contact bands, creating suitable conditions for freezing rain; increase in wind gusts in some regions of Latvia'>Greater uncertainty of snow cover thickness, decre...</span>","Extreme temperature"
"Latvia","BTR","<span title='Increase in the annual average air temperature, increase in the average air temperature in the winter season, increase in the minimum value of the daily maximum temperature, increase in the average air temperature in the summer months'>Increase in the annual average air temperature, in...</span>",""
"Latvia","BTR","<span title='Decrease in the number of frost days, increase in the number of days without thaws, decrease in the average number of days with snow cover, decrease in the average snow cover thickness in the winter months, shortening of the ice period, increase in the number of summer days, increase in the number of tropical nights'>Decrease in the number of frost days, increase in ...</span>","Extreme temperature"
"Latvia","BTR","<span title='Increase in the number of days of the vegetation period'>Increase in the number of days of the vegetation p...</span>",""
"Latvia","BTR","<span title='Increase in the annual precipitation, continuous increase in the duration of the precipitation period, increase in the number of days with heavy and very heavy precipitation, increase in the maximum daily precipitation'>Increase in the annual precipitation, continuous i...</span>","Change in precipitation"
"Latvia","BTR","<span title='Increase in maximum wind gusts on the seacoast, increase in the number of days with the maximum wind speed'>Increase in maximum wind gusts on the seacoast, in...</span>",""
"Latvia","BTR","<span title='Improve the stormwater management system in cities and towns by developing local governments' climate change adaptation strategies'>Improve the stormwater management system in cities...</span>","Storm"
"Latvia","BTR","<span title='Annual mean value of maximum air temperature has increased by 1.1 °C, while maximum and minimum value − by 1.4 °C and 1.5 °C respectively'>Annual mean value of maximum air temperature has i...</span>","Extreme temperature"
"Latvia","BTR","<span title='Annual mean and maximum value of mean air temperature have increased by 1.2 °C, while minimum value has increased by 1.8 °C'>Annual mean and maximum value of mean air temperat...</span>",""
"Latvia","BTR","<span title='Annual mean and maximum value of minimum air temperature have increased by 0.9 °C and 0.8 °C respectively, while minimum value – by 2.1 °C'>Annual mean and maximum value of minimum air tempe...</span>",""
"Latvia","BTR","<span title='Due to observed climate change summer days have increased by 5 days'>Due to observed climate change summer days have in...</span>",""
"Latvia","BTR","<span title='Latvia has always had a small number of tropical nights, so no valid conclusions about the trends in changes of the number of such nights can be made, however, an increase in the frequency of such nights has been observed during the last couple of decades'>Latvia has always had a small number of tropical n...</span>",""
"Latvia","BTR","<span title='During the observed period, the average length of heatwaves has increased by 5 days'>During the observed period, the average length of ...</span>","Extreme temperature"
"Latvia","BTR","<span title='The general increase in air temperatures has also affected the length of the growing season – by an average of 3 additional days since 1961'>The general increase in air temperatures has also ...</span>",""
"Latvia","BTR","<span title='During the observed period, the average number of frost days in Latvia has decreased by 12 days'>During the observed period, the average number of ...</span>","Extreme temperature"
"Latvia","BTR","<span title='Similar to frost days, the average number of ice days in Latvia has decreased on average by 14 days'>Similar to frost days, the average number of ice d...</span>","Extreme temperature"
"Latvia","BTR","<span title='During the observed period, the average length of coldwaves has decreased by 4 days'>During the observed period, the average length of ...</span>",""
"Latvia","BTR","<span title='Diurnal temperature range has increased by 0.2 °C since 1961'>Diurnal temperature range has increased by 0.2 °C ...</span>",""
"Latvia","BTR","<span title='Past climate change has resulted in the increase of annual precipitation amount in Latvia by an average of 4.4%, or about 28.6 mm'>Past climate change has resulted in the increase o...</span>","Change in precipitation"
"Latvia","BTR","<span title='On average, the annual maximum one-day precipitation amount in Latvia has increased by 1.8 mm'>On average, the annual maximum one-day precipitati...</span>","Change in precipitation"
"Latvia","BTR","<span title='Since 1961, the maximum 5-day precipitation amount on average has increased by 2.8 mm'>Since 1961, the maximum 5-day precipitation amount...</span>","Change in precipitation"
"Latvia","BTR","<span title='At the end of the discussed period, the simple daily intensity index is higher by 0.3 mm/wet days than at the beginning of the period'>At the end of the discussed period, the simple dai...</span>",""
"Latvia","BTR","<span title='Within the discussed period, the average number of days with heavy precipitation has increased by 3 days'>Within the discussed period, the average number of...</span>","Change in precipitation"
"Latvia","BTR","<span title='Very heavy precipitation days in Latvia are observed very rarely, and so far, there has been no change in the number of such days'>Very heavy precipitation days in Latvia are observ...</span>","Change in precipitation"
"Latvia","BTR","<span title='Average snow cover in Latvia since 1961 has reduced by 3 cm'>Average snow cover in Latvia since 1961 has reduce...</span>","Extreme temperature"
"Latvia","BTR","<span title='Number of days with snow cover has decreased by 23 days'>Number of days with snow cover has decreased by 23...</span>","Extreme temperature"
"Latvia","BTR","<span title='Since 1966, average wind speed in Latvia has decreased by 0.5 m/s'>Since 1966, average wind speed in Latvia has decre...</span>",""
"Latvia","BTR","<span title='Stormy days in Latvia are observed very rarely, and up to recently, the number of such days on average in Latvia has decreased by 1 day'>Stormy days in Latvia are observed very rarely, an...</span>","Storm"
"Latvia","BTR","<span title='Due to the decrease in mean wind speed, the number of calm days has increased by 19 days'>Due to the decrease in mean wind speed, the number...</span>",""
"Latvia","BTR","<span title='Annual mean maximum air temperature, according to minor, medium and significant climate change scenarios, can increase by 2.8–5.0 °C, while a more rapid increase for extreme values is projected – maximum values of annual maximum air temperature by 3.2–6.4 °C, and minimum value of annual maximum air temperature can increase by 4.5–8.4 °C'>Annual mean maximum air temperature, according to ...</span>",""
"Latvia","BTR","<span title='Until the end of century, annual mean air temperature can increase by 2.8–4.9 °C, while annual maximum value – by 2.9–5.5 °C. Annual minimum value of mean air temperature is projected to increase by 5.7– 9.9 °C'>Until the end of century, annual mean air temperat...</span>",""
"Latvia","BTR","<span title='Most significant increase is projected for minimum values of annual minimum air temperature: 8.0–12.5 °C, while for annual mean values a 2.9–5.1 °C increase is predicted and for maximum values an increase of 2.6– 5.2 °C'>Most significant increase is projected for minimum...</span>",""
"Latvia","BTR","<span title='By the end of 21st century, the projected increase of summer days on average is 19 to 44 days'>By the end of 21st century, the projected increase...</span>",""
"Latvia","BTR","<span title='The number of tropical nights by year 2100 can increase by 19 to 44 nights'>The number of tropical nights by year 2100 can inc...</span>",""
"Latvia","BTR","<span title='Average heatwave length is expected to increase by 14–34 days by the end of the century'>Average heatwave length is expected to increase by...</span>","Extreme temperature"
"Latvia","BTR","<span title='It is expected that by 2100 the increase of air temperatures will affect the duration of the growing season – the scenarios climate models project an extension of the growing season by 3027 to 6649 days'>It is expected that by 2100 the increase of air te...</span>",""
"Latvia","BTR","<span title='The number of frost days may decrease by an average of 38 to 70 days'>The number of frost days may decrease by an averag...</span>","Extreme temperature"
"Latvia","BTR","<span title='By 2100, the number of ice days will probably decrease by 28 to 43 days'>By 2100, the number of ice days will probably decr...</span>","Extreme temperature"
"Latvia","BTR","<span title='Average coldwave length is expected to decrease by 5–6 days by the end of the century'>Average coldwave length is expected to decrease by...</span>",""
"Latvia","BTR","<span title='Mean annual diurnal temperature range is expected to decrease by 0.1–0.2 °C by 2100, in large part due to the winter season, when the diurnal temperature range will decrease by 1.1–1.6 °C'>Mean annual diurnal temperature range is expected ...</span>",""
"Latvia","BTR","<span title='By the end of the century, an increase of 18.2–24.1% (about 119.7–158.2 mm) in annual precipitation amount is projected'>By the end of the century, an increase of 18.2–24....</span>","Change in precipitation"
"Latvia","BTR","<span title='The scenarios project an increase of the intensity of precipitation – by about 0.4– 0.7 mm/wet days'>The scenarios project an increase of the intensity...</span>","Change in precipitation"
"Latvia","BTR","<span title='By the year 2100, the number of days with heavy precipitation will increase by an average of 4 to 8 days'>By the year 2100, the number of days with heavy pr...</span>","Change in precipitation"
"Latvia","BTR","<span title='By the end of century average snow cover is projected to decrease by 4 to 6 cm, that is more than 50% of 1961-1990 average thickness (7 cm)'>By the end of century average snow cover is projec...</span>","Extreme temperature"
"Latvia","BTR","<span title='Due to technical nature of snow cover climate models, there are no developed projections for this variable'>Due to technical nature of snow cover climate mode...</span>","Extreme temperature"
"Latvia","BTR","<span title='In the future projections show uncertainty, with mean wind speed increasing by 0.1 m/s in a minor climate change scenario, but in significant climate change – decreasing by
0.1 m/s'>In the future projections show uncertainty, with m...</span>",""
"Latvia","BTR","<span title='Only small changes in the mean number of stormy days are projected for Latvia, so no valid conclusions about changes in numbers of stormy days can be made'>Only small changes in the mean number of stormy da...</span>","Storm"
"Latvia","BTR","<span title='Most climate models project increase in the number of calm days in Latvia on average by 20 to 38 days'>Most climate models project increase in the number...</span>",""
"Lebanon","BTR","<span title='Between 1950 and 2020, Lebanon’s mean annual temperature rose by 1.6°C, with sharper increases observed in recent decades, particularly from 1991 to 2020'>Between 1950 and 2020, Lebanon’s mean annual tempe...</span>","Change in temperature"
"Lebanon","BTR","<span title='Summers have become hotter and longer, with temperatures frequently exceeding 40°C, intensifying heat stress in urban areas and heightening energy demands'>Summers have become hotter and longer, with temper...</span>","Extreme temperature"
"Lebanon","BTR","<span title='Precipitation patterns have also changed dramatically, with annual rainfall showing a declining trend since 1950'>Precipitation patterns have also changed dramatica...</span>","Change in precipitation"
"Lebanon","BTR","<span title='Seasonal irregularities are also evident, with prolonged dry periods interspersed by erratic heavy rainfall during winter months. Such shifts have strained water resources, disrupted snowmelt patterns, and exacerbated water scarcity, which is critical for agriculture and rural livelihoods. For example, the period from 2010 to 2020 saw irregular precipitation surpluses in winter but also notable droughts during spring and summer, further destabilizing the agricultural sector.'>Seasonal irregularities are also evident, with pro...</span>","Extreme temperature;Storm;Drought;Change in precipitation"
"Lebanon","BTR","<span title='Between 1955 and 2023, Lebanon experienced 26 major disasters, affecting over 5.4 million people and resulting in significant human and economic losses'>Between 1955 and 2023, Lebanon experienced 26 majo...</span>",""
"Lebanon","BTR","<span title='The heatwaves of 2007 and 2010 caused temperatures to spike above 40°C for extended periods, leading to widespread forest fires and agricultural losses.'>The heatwaves of 2007 and 2010 caused temperatures...</span>","Extreme temperature;Wildfire"
"Lebanon","BTR","<span title='Severe flooding events, such as those in 2009 and 2019, caused significant damage to infrastructure and displaced communities, while snowstorms and heavy rains in 2018 brought further destruction, including
landslides and road closures'>Severe flooding events, such as those in 2009 and ...</span>","Extreme temperature;Storm;Landslide;Flood"
"Lebanon","BTR","<span title='The frequency of extreme weather events, such as intense storms and floods, is projected to rise, with flash flooding expected to increase in urban and low-lying coastal areas due to reduced soil infiltration and more intense rainfall events.'>The frequency of extreme weather events, such as i...</span>","Extreme temperature;Storm;Flood;Change in precipitation"
"Lebanon","BTR","<span title='Recent records show a significant increase in the occurrence of wildfires, rising from 343 events in 2019 to over 1,000 in 2021, exacerbated by prolonged droughts and mismanagement of natural resources. These disasters have had cascading effects, including displacement, loss of livelihoods, and damage to critical infrastructure, further straining Lebanon’s fragile socio-economic context.'>Recent records show a significant increase in the ...</span>","Drought;Wildfire"
"Lebanon","BTR","<span title='Snow cover, a crucial source of seasonal water storage, is declining due to rising temperatures and reduced precipitation'>Snow cover, a crucial source of seasonal water sto...</span>","Extreme temperature;Change in temperature;Change in precipitation"
"Lebanon","BTR","<span title='Snowmelt floods, which traditionally provide critical water supply during spring and early summer, are increasingly being replaced by rainfall floods'>Snowmelt floods, which traditionally provide criti...</span>","Extreme temperature;Flood;Change in precipitation"
"Egypt","BTR","<span title='Over the past thirty years, Egypt has experienced a significant warming trend, with average annual temperatures rising by 0.53°C per decade, particularly during the summer months, accompanied by a notable increase in daily minimum temperatures. This has resulted in fewer cold nights and more warm nights'>Over the past thirty years, Egypt has experienced ...</span>","Change in temperature"
"Egypt","BTR","<span title='Consistent reduction in annual precipitation, with a 22% decline over the past three decades. This has exacerbated water scarcity, contributing to extended droughts and reduced water availability in many areas.'>Consistent reduction in annual precipitation, with...</span>","Drought;Change in precipitation"
"Egypt","BTR","<span title='The frequency and severity of flash floods have increased, particularly in winter and early spring months.'>The frequency and severity of flash floods have in...</span>","Flood"
"Egypt","BTR","<span title='Under a high-emission scenario (RCP8.5), temperatures are projected to rise by 2.1°C to 5.7°C by the 2080s, with the interior regions and summer months experiencing the most rapid increases. Heatwaves are expected to become more frequent, intense, and prolonged, while cold spells will diminish.'>Under a high-emission scenario (RCP8.5), temperatu...</span>","Extreme temperature"
"Egypt","BTR","<span title='Egypt is expected to see a continuation of reduced rainfall, with longer dry spells and an increase in the intensity of heavy rainfall events, though overall annual precipitation will remain low.'>Egypt is expected to see a continuation of reduced...</span>","Storm;Drought;Change in precipitation"
"Egypt","BTR","<span title='The combination of rising temperatures and decreasing precipitation will intensify evaporation rates, worsen water scarcity and increase the likelihood of droughts.'>The combination of rising temperatures and decreas...</span>","Extreme temperature;Drought;Change in temperature;Change in precipitation"
"Egypt","BTR","<span title='Longer periods of extreme heat will also have adverse effects on human health, ecosystems, and livestock.'>Longer periods of extreme heat will also have adve...</span>","Extreme temperature"
"Egypt","BTR","<span title='The Nile Delta has been identified as one of the world´s three “extreme” vulnerability hotspots, where future climate projections indicate severe impacts, including sea level rise, water scarcity and deficit, and more frequent and intense extreme weather events such as heat waves, flash floods, heavy rains, sand and dust storms.'>The Nile Delta has been identified as one of the w...</span>","Extreme temperature;Storm;Flood;Sea level rise"
"Egypt","BTR","<span title='Socially, sea level rise threatens to displace millions of people'>Socially, sea level rise threatens to displace mil...</span>","Sea level rise"
"Egypt","BTR","<span title='December 2010, January 2011, and October 2015: Storm surges reached 1.2 meters above sea level, causing coastal flooding in the Nile Delta and damage to coastal structures.'>December 2010, January 2011, and October 2015: Sto...</span>","Storm;Flood;Sea level rise"
"Estonia","BTR","<span title='Increase in temperature is high in the northern hemisphere, especially at higher latitudes'>Increase in temperature is high in the northern he...</span>","Change in temperature"
"Estonia","BTR","<span title='In the period of 2041–2070, the increase in the temperature will be lowest in the summer months (June, July, August, i.e. JJA), and, in the period of 2071–2100, in the autumn months (September, October, November, i.e. SON)'>In the period of 2041–2070, the increase in the te...</span>",""
"Estonia","BTR","<span title='a decrease in the shortwave radiative forcing affecting the surface of the Earth'>a decrease in the shortwave radiative forcing affe...</span>",""
"Estonia","BTR","<span title='an increase in the average wind velocity in winter and partly in spring. The increase is likely to range between 3% and 18% and is related to the increase in the number of cyclones moving to our territories from the Atlantic Ocean'>an increase in the average wind velocity in winter...</span>","Storm"
"Estonia","BTR","<span title='Projections show a significant decrease in snow cover by the end of the 21st century'>Projections show a significant decrease in snow co...</span>","Extreme temperature"
"Estonia","BTR","<span title='The seawater surface temperature will rise by 2.9 °C as an average of the model ensemble by 2071–2100 compared to the period of 1961–1990. The increase in the seawater surface temperature will be the highest in May and June and will be expressed most in the southern and central areas of the Baltic Sea'>The seawater surface temperature will rise by 2.9 ...</span>","Sea temperature"
"Estonia","BTR","<span title='The coastal areas of the Gulf of Finland, the Väinameri Sea, and the Gulf of Riga are still covered with ice, but the thickness of the ice layer has decreased by half or up to three times'>The coastal areas of the Gulf of Finland, the Väin...</span>","Extreme temperature"
"Estonia","BTR","<span title='By the 2080s, the ice cover of the Baltic Sea will have decreased further – the Väinameri Sea and the Gulf of Riga are almost completely ice-free, but the coastal areas of the Gulf of Finland are still covered with ice'>By the 2080s, the ice cover of the Baltic Sea will...</span>","Extreme temperature"
"Estonia","BTR","<span title='Due to the increasing winter temperatures, the ice cover period of Estonian rivers is shortening, or no ice cover will form on most of the rivers. This will result in runoff in the winter period, as the precipitation will no longer accumulate in the form of snow'>Due to the increasing winter temperatures, the ice...</span>","Extreme temperature;Change in precipitation"
"Estonia","BTR","<span title='Extreme weather conditions, which may endanger human health, include storms and heavy rain (the resulting floods), which may also make vital medical assistance less accessible or even completely inaccessible'>Extreme weather conditions, which may endanger hum...</span>","Extreme temperature;Storm;Flood"
"Estonia","BTR","<span title='In 2020, air pollution fine particles and nitrogen dioxide in the ambient air caused an average of 1,179 early deaths in Estonia'>In 2020, air pollution fine particles and nitrogen...</span>",""
"Estonia","BTR","<span title='The higher frequency of drought periods in spring and summer also increases the forest fire hazard'>The higher frequency of drought periods in spring ...</span>","Drought;Wildfire"
"Estonia","BTR","<span title='Due to changes in the trajectories of cyclones and the resulting higher frequency of western storms, Estonian coastal areas may be at a risk of increasingly frequent rises in the water level and floods, the extent of which in the future will probably exceed what has been experienced so far'>Due to changes in the trajectories of cyclones and...</span>","Storm;Flood"
"Estonia","BTR","Floods","Flood"
"Estonia","BTR","<span title='The risks of storm damage affecting settlements are higher in Western Estonia, islands and coastal areas, where winds blowing over 21 m/s occur more often'>The risks of storm damage affecting settlements ar...</span>","Storm"
"Estonia","BTR","<span title='Heat waves, which have already presented themselves as climate-related risks in the summers of the last few decades in Estonia, are amplified in the cities due to the heat island effect, which most significantly affects the chronically ill, small children, and the elderly.'>Heat waves, which have already presented themselve...</span>","Extreme temperature"
"Austria","BTR","<span title='The increase of annual mean temperature in Austria since 1880 has almost reached 2°C. The increase was strongest in the period after 1980, when an increase by more than 1°C has been observed'>The increase of annual mean temperature in Austria...</span>","Change in temperature"
"Austria","BTR","<span title='In a country-wide evaluation, the meteorological summer of 2024 brought 13 % less precipitation than an average summer while during the same summer several heavy rainfall events caused mudslides and flooding'>In a country-wide evaluation, the meteorological s...</span>","Storm;Flood;Change in precipitation"
"Austria","BTR","<span title='All observed glaciers in Austria have clearly shown a reduction in surface area and in volume in the period since 1980'>All observed glaciers in Austria have clearly show...</span>","Extreme temperature"
"Austria","BTR","<span title='Duration of snow cover has been reduced in recent decades, especially at altitudes around 1,000 m a.s.l.'>Duration of snow cover has been reduced in recent ...</span>","Extreme temperature"
"Chile","BTR","<span title='The extreme drought of 2019 and 2021 with deficits of -36.6 and -42.9%, respectively, decreased in 2023 to -11%'>The extreme drought of 2019 and 2021 with deficits...</span>","Drought"
"Chile","BTR","<span title='The average annual temperature in Chile has shown a significant increase, from 12.4 °C (1961-1990) to 13.0 °C (2009- 2023), an overall of 0.15 °C per decade and more pronounced than the last reporting period'>The average annual temperature in Chile has shown ...</span>","Change in temperature"
"Chile","BTR","<span title='The average annual accumulated precipitation has decreased from 675.3 mm to 536.4 mm (4%/ decade), with downward trends in practically the entire continental territory, with the largest reductions observed in the Valparaíso, Metropolitan and Maule regions (up to -55%).'>The average annual accumulated precipitation has d...</span>","Change in precipitation"
