"","X.1","X","...1","RowID","Country","Document","Element","ElementLabel","ElementText","HazardType","SystemType","Sector","SectorType","ResultType","Action.level","ActionType","IndicatorType_theme","IndicatorType_information","IndicatorType_function","BarrierType","SectorType_GGA","ClimateImpact_Keywords","ImpactCategories","From_SystemAtRisk","Source_ElementLabel","InterventionType_GPT","ActionType_GPT"
"1352",1319,1319,1319,1319,"Ghana","BTR","Action","Implementation progress","School-Based Programs: Educational programs are implemented in schools to teach students about disaster risks and preparedness. These programs aim to build a culture of safety and resilience from a young age.",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"educational","social"
"1353",1320,1320,1320,1320,"Greece","BTR","Hazard","Climate trends and hazards","Observed hazards include heat waves, cold waves and wildfires, changing temperature and temperature variability","Extreme temperature;Wildfire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1354",1321,1321,1321,1321,"Greece","BTR","Hazard","Climate trends and hazards","All the temperature-related hazards are expected to increase in the future, with the exception of cold waves/frost that are expected to be significantly decreasing.","Extreme temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1355",1322,1322,1322,1322,"Greece","BTR","Hazard","Climate trends and hazards","Cyclones","Storm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356",1323,1323,1323,1323,"Greece","BTR","Hazard","Climate trends and hazards","Storms","Storm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1357",1324,1324,1324,1324,"Greece","BTR","Hazard","Climate trends and hazards","Drought, heavy precipitation events, floods and snow and ice load have been observed","Extreme temperature;Drought;Flood;Change in precipitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1358",1325,1325,1325,1325,"Greece","BTR","Hazard","Climate trends and hazards","The trend is expected to be increasing for droughts and floods, but it remains uncertain for heavy precipitation.","Drought;Flood;Change in precipitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359",1326,1326,1326,1326,"Greece","BTR","Hazard","Climate trends and hazards","With regards to sea level rise and saline intrusion their trend is projected to be increasing in the future.","Sea level rise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360",1327,1327,1327,1327,"Greece","BTR","Hazard","Climate trends and hazards","Landslide problems have been commonly reported in the recent years and the trend is projected to increase","Landslide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human health burden; Healthcare system strain; Mortality & injury",NA,NA,NA,NA
"1361",1328,1328,1328,1328,"Greece","BTR","Hazard","Vulnerability","According to the Annual Bulletins on the Climate in Greece of years 2014-2023 of the Hellenic National Meteorological Service, the main climate extremes refer to heat waves, high precipitation and flooding events, cyclones, sandstorms and landslides","Extreme temperature;Storm;Landslide;Flood;Change in precipitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362",1329,1329,1329,1329,"Greece","BTR","Hazard","Vulnerability","In February 2021 the extreme snowfall caused important problems in transport and electricity due to the fall of trees over the network.","Extreme temperature",NA,"Transport","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Infrastructure and human settlements",NA,NA,NA,NA,NA,NA
"1363",1330,1330,1330,1330,"Greece","BTR","System at risk","Vulnerability","In February 2021 the extreme snowfall caused important problems in transport and electricity due to the fall of trees over the network.",NA,"Forest;Infrastructure and services","Transport","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Infrastructure and human settlements",NA,"Mortality & injury",NA,NA,NA,NA
"1364",1331,1331,1331,1331,"Greece","BTR","System at risk","Vulnerability","Extreme heat waves have negative consequences on public health. The impacts of the climate extremes have been quite apparent leading to losses of human lives and property",NA,"Health","Health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,"Crop production loss",NA,NA,NA,NA
"1365",1332,1332,1332,1332,"Greece","BTR","Climate impact","Impact","Extreme heat waves have negative consequences on public health. The impacts of the climate extremes have been quite apparent leading to losses of human lives and property",NA,NA,"Health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,"Human health burden; Mortality & injury",NA,NA,NA,NA
"1366",1333,1333,1333,1333,"Greece","BTR","Hazard","Vulnerability","The two most severe heat waves occurred in July 2021 and 2023","Extreme temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mortality & injury; Energy system impacts",NA,NA,NA,NA
"1367",1334,1334,1334,1334,"Greece","BTR","Hazard","Vulnerability","Temperature increase and rainfall decrease make forest areas of the country drier, and therefore more vulnerable to forest fires.","Wildfire;Change in temperature;Change in precipitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",1335,1335,1335,1335,"Greece","BTR","Climate impact","Impact","The wildfires of July 2018 are characterized as the most devastating in the history of modern Greece and the 2nd most devastating in the world for the 21st century causing the deaths to 100 people and injuries to 164, including 23 children",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mortality & injury",NA,NA,NA,NA
"1369",1336,1336,1336,1336,"Greece","BTR","Climate impact","Impact","In August 2021 as a result of the high temperatures an important number of fires was reported at the same time in different regions of the country, resulting in a loss of 108,602 hectares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop production loss",NA,NA,NA,NA
"1370",1337,1337,1337,1337,"Greece","BTR","Climate impact","Impact","In 2023, long periods of drought in combination with high temperatures and wind velocities have contributed to wildfires. In 2023, the devastating wildfire in Evros burned for 17 days, leaving behind 93.560 (approximate) hectares of ash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371",1338,1338,1338,1338,"Greece","BTR","Climate impact","Impact","September 2023 was the month with the largest wet anomaly, which was observed in the region of Thessaly after extreme rainfall associated with the storm Daniel; this event led to an exceptional amount of rainfall and was responsible for the devastating flooding, causing major destruction to infrastructures, to the transportation and the electricity network and to agricultural production in the area. Thousands of people were trapped and needed rescue; thousands of animals were


dead, while 17 people lost their lives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"devastating flooding; major destruction to infrastructures; to the transportation and the electricity network; to agricultural production in the area; Thousands of people were trapped and needed rescue; thousands of animals were dead; 17 people lost their lives","Mortality & injury; Energy system impacts",NA,NA,NA,NA
"1372",1339,1339,1339,1339,"Greece","BTR","System at risk","Vulnerability","September 2023 was the month with the largest wet anomaly, which was observed in the region of Thessaly after extreme rainfall associated with the storm Daniel; this event led to an exceptional amount of rainfall and was responsible for the devastating flooding, causing major destruction to infrastructures, to the transportation and the electricity network and to agricultural production in the area. Thousands of people were trapped and needed rescue; thousands of animals were


dead, while 17 people lost their lives",NA,"Crop;Infrastructure and services",NA,"Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"1373",1340,1340,1340,1340,"Greece","BTR","Climate impact","Impact","In February 2021, while the combination of high precipitation and intense winds caused many disasters, including landslides, floods, problems in transport and property losses, especially in the Ionian islands, Western Greece and Crete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economic & livelihood losses",NA,NA,NA,NA
"1374",1341,1341,1341,1341,"Greece","BTR","Hazard","Vulnerability","Minimum winter temperatures in all of Greece’s regions are projected to be ~1.5 oC higher in 2021-2050 and ~3.5 oC higher in 2071-2100, than in the reference period 1961-1990.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375",1342,1342,1342,1342,"Greece","BTR","Hazard","Vulnerability","The increase in mean maximum summer temperatures in the period 2021-2050 is projected to be higher than that of the winter minimums and exceed 1.5 oC, while in some cases is projected to reach up to 2.5 oC. In the period 2071-2100, the increase in mean maximum summer temperatures may be as much as 5 oC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop production loss",NA,NA,NA,NA
"1376",1343,1343,1343,1343,"Greece","BTR","Climate impact","Impact","The annual number of tropical nights is projected to increase almost everywhere in Greece, but substantially more in the coastal and island regions than in the continental mainland regions. This parameter is closely associated with human health, as a tropical night following an extremely hot day can increase human discomfort.",NA,NA,"Health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,"Human health burden; Mental health impacts",NA,NA,NA,NA
"1377",1344,1344,1344,1344,"Greece","BTR","System at risk","Vulnerability","The annual number of tropical nights is projected to increase almost everywhere in Greece, but substantially more in the coastal and island regions than in the continental mainland regions. This parameter is closely associated with human health, as a tropical night following an extremely hot day can increase human discomfort.",NA,"Coastal;Health","Health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,"Water availability shortfall; Energy system impacts",NA,NA,NA,NA
"1378",1345,1345,1345,1345,"Greece","BTR","Climate impact","Impact","The temperature increase is expected to deteriorate the urban heat island effect and cause an increase energy demand for cooling, especially in the regions of Thessaly and Central Macedonia",NA,NA,"Energy","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Infrastructure and human settlements",NA,"Human health burden; Energy system impacts",NA,NA,NA,NA
"1379",1346,1346,1346,1346,"Greece","BTR","System at risk","Vulnerability","The temperature increase is expected to deteriorate the urban heat island effect and cause an increase energy demand for cooling, especially in the regions of Thessaly and Central Macedonia",NA,"Infrastructure and services","Energy","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Infrastructure and human settlements",NA,"Mental health impacts",NA,NA,NA,NA
"1380",1347,1347,1347,1347,"Greece","BTR","Climate impact","Impact","The increase in temperature and the decrease in rainfall (prolongation of periods of drought) will affect agriculture production",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Crop production loss",NA,NA,NA,NA
"1381",1348,1348,1348,1348,"Greece","BTR","System at risk","Vulnerability","The increase in temperature and the decrease in rainfall (prolongation of periods of drought) will affect agriculture production",NA,"Crop","Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,";Tourism & recreation impacts",NA,NA,NA,NA
"1382",1349,1349,1349,1349,"Greece","BTR","Climate impact","Impact","Tourism is expected to be affected by the increase of heatwave periods in the South, also because of the need for more energy for cooling, while many areas (mainly islands) is expected to face water scarcity problems",NA,NA,"Tourism","Livelihoods, poverty and sustainable development",NA,NA,NA,NA,NA,NA,NA,"Poverty eradication and livelihoods",NA,"Water availability shortfall",NA,NA,NA,NA
"1383",1350,1350,1350,1350,"Greece","BTR","System at risk","Vulnerability","Tourism is expected to be affected by the increase of heatwave periods in the South, also because of the need for more energy for cooling, while many areas (mainly islands) is expected to face water scarcity problems",NA,"Freshwater;Livelihoods and poverty;Infrastructure and services","Tourism","Livelihoods, poverty and sustainable development",NA,NA,NA,NA,NA,NA,NA,"Poverty eradication and livelihoods",NA,NA,NA,NA,NA,NA
"1384",1351,1351,1351,1351,"Greece","BTR","Climate impact","Impact","The coastal and island regions are expected to be mostly affected by days with increased thermal discomfort",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mental health impacts",NA,NA,NA,NA
"1385",1352,1352,1352,1352,"Greece","BTR","System at risk","Vulnerability","The rising sea levels are expected to damage infrastructure and other constructions close to the coastline and affect tourism.",NA,"Coastal;Livelihoods and poverty;Infrastructure and services","Infrastructure/Tourism","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Poverty eradication and livelihoods",NA,NA,NA,NA,NA,NA
"1386",1353,1353,1353,1353,"Greece","BTR","Climate impact","Impact","The rising sea levels are expected to damage infrastructure and other constructions close to the coastline and affect tourism.",NA,NA,"Infrastructure/Tourism","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Infrastructure and human settlements",NA,"Damage to buildings & infrastructure;Tourism & recreation impacts",NA,NA,NA,NA
"1387",1354,1354,1354,1354,"Greece","BTR","Adaptation priorities","Priorities","The systematization and improvement of short- and long-term decision making for Climate Change Adaptation (CCA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1388",1355,1355,1355,1355,"Greece","BTR","Adaptation priorities","Priorities","The linking of CCA with a sustainable development model through Regional and Local Action Plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1389",1356,1356,1356,1356,"Greece","BTR","Adaptation priorities","Priorities","The promotion of actions and adaptation policies in all sectors, and particularly the most vulnerable ones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1390",1357,1357,1357,1357,"Greece","BTR","Adaptation priorities","Priorities","The establishment of a monitoring mechanism for the evaluation and review of adaptation policies and actions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1391",1358,1358,1358,1358,"Greece","BTR","Adaptation priorities","Priorities","The strengthening of the adaptive capacity of the Greek society through awareness and


dissemination actions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1392",1359,1359,1359,1359,"Greece","BTR","Adaptation priorities","Priorities","Production and availability of climate projections through MEEN’s GIS Portal and the Climate Projections Tool of the National Adaptation Hub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1393",1360,1360,1360,1360,"Greece","BTR","Adaptation priorities","Priorities","Provision of information at the national, regional and local levels through the National Adaptation Hub, established and maintained by the NECCA. The Hub, among others, provides information on the adaptation policies and an overview of adaptation actions applied in the different NAS sectors and in the Greek regions and municipalities. Further, the Hub gives access to tools, including climate projections, good adaptation practices, guidance on climate proofing for infrastructure projects as well as financial tools. New features and updates of the Hub are planned to be released in 2025.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1394",1361,1361,1361,1361,"Greece","BTR","Adaptation priorities","Priorities","Capacity building through regional and national capacity building workshops that increase awareness and knowledge of the regional authorities and provide necessary data to support the decision making for adaptation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395",1362,1362,1362,1362,"Greece","BTR","Adaptation priorities","Priorities","Establishment of contacts with several Ministries and stakeholders at an operational level to ensure a better understanding and coordination of actions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1396",1363,1363,1363,1363,"Greece","BTR","Adaptation priorities","Priorities","Networking & exchange of experiences with the Balkan neighbouring countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1397",1364,1364,1364,1364,"Greece","BTR","Adaptation priorities","Priorities","Tools and good practices implemented on local and regional adaptation have been identified and are being promoted for replication and transfer through dedicated networking activities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1398",1365,1365,1365,1365,"Greece","BTR","Adaptation priorities","Priorities","MEEN runs acomparative analysis on the 13 RAAPs to identify priorities, knowledge gaps and funding needs. This analysis is expected to specify the need for action at national level so as to unlock and foster the RAAPs implementation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1399",1366,1366,1366,1366,"Greece","BTR","Adaptation priorities","Priorities","The interaction between national, regional and local authorities is enhanced through regional adaptation capacity building workshops and meetings that provide opportunities for better communication among the different administration levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1400",1367,1367,1367,1367,"Greece","BTR","Adaptation priorities","Priorities","Mainstreaming of adaptation into key sectoral policies has started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1401",1368,1368,1368,1368,"Greece","BTR","Adaptation priorities","Priorities","Key adaptation stakeholders per sector have been identified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1402",1369,1369,1369,1369,"Greece","BTR","Adaptation priorities","Priorities","Sectoral analyses of the progress in mainstreaming adaptation into the NAS’s key adaptation sectors have been drafted; Workshops to identify measures to further increase adaptation mainstreaming into biodiversity, forestry and agriculture policies have been organized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1403",1370,1370,1370,1370,"Greece","BTR","Adaptation priorities","Priorities","The 13 RAAPs have been analysed and common priorities/needs for action per sector at a national level are being identified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1404",1371,1371,1371,1371,"Greece","BTR","Adaptation priorities","Priorities","Different funding streams that can provide funds for the implementation of actions that contribute to adaptation, especially in sectors of high vulnerability (i.e. agriculture, water management and flood protection, protection from coastal erosion, green infrastructure in urban areas adaptation actions e.tc.) have been monitored and identified adaptation-related funding gaps and needs have been communicated to the funds’ managing authorities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1405",1372,1372,1372,1372,"Greece","BTR","Adaptation priorities","Priorities","Pilot projects, in which adaptation considerations have been included, have been being highlighted and promoted for replication and transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1406",1373,1373,1373,1373,"Greece","BTR","Adaptation priorities","Priorities","Mitigation and adaptation synergies have been captured and adaptation policies and measures that support the implementation of the Greek 2030 National Energy and Climate Plan are considered in the national planning for energy and climate change mitigation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1407",1374,1374,1374,1374,"Greece","BTR","Adaptation priorities","Priorities","Sets of sectoral indicators have been developed in consultation with potential data providers and an e-platform has been established to accommodate the indicators monitoring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1408",1375,1375,1375,1375,"Greece","BTR","Adaptation priorities","Priorities","The 1st ever regional and national adaptation M&E cycle is in progress and is expected to provide valuable feedback on the indicators proposed and the process in general; this feedback will be useful for the fine-tuning of the indicators sets and the process followed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1409",1376,1376,1376,1376,"Greece","BTR","Adaptation priorities","Priorities","The 2nd regional and national adaptation M&E Cycle is expected to run in 2025 to further refine and fine-tune the indicators",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1410",1377,1377,1377,1377,"Greece","BTR","Adaptation priorities","Priorities","Some Greek regions are now in process of developing their own regional climate change observatories that will provide climate information as well as information on adaptation actions at a regional level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1411",1378,1378,1378,1378,"Greece","BTR","Adaptation priorities","Priorities","Professional groups have been informed about climate change impacts and adaptation, with particular attention provided to high vulnerable groups (for instance farmers, tourist professionals, insurance companies etc.) through regional info-days, dedicated meetings, capacity building workshops, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1412",1379,1379,1379,1379,"Greece","BTR","Adaptation priorities","Priorities","The level of social awareness on adaptation has been monitored through surveys run at regional and national levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1413",1380,1380,1380,1380,"Greece","BTR","Barriers","Gaps and barriers","The unclarity of roles and responsibilities at the various levels of public administration causing delays in the integration of the NAS in the respective activities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organizational",NA,NA,NA,NA,NA,NA,NA
"1414",1381,1381,1381,1381,"Greece","BTR","Barriers","Gaps and barriers","The lack of staff that the public administration bodies may not have sufficient capacity to utilize the financial resources that are available for the implementation of adaptation policies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human capacities",NA,NA,NA,NA,NA,NA,NA
"1415",1382,1382,1382,1382,"Greece","BTR","Barriers","Gaps and barriers","The lack of targeted and sufficient funding tools that correspond to the identified needs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Financial",NA,NA,NA,NA,NA,NA,NA
"1416",1383,1383,1383,1383,"Greece","BTR","Barriers","Gaps and barriers","Knowledge gaps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Informational",NA,NA,NA,NA,NA,NA,NA
"1417",1384,1384,1384,1384,"Greece","BTR","Action","Actions","Improving knowledge of climate change impacts and adaptation",NA,NA,NA,NA,NA,"Groundwork","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"educational","social"
"1418",1385,1385,1385,1385,"Greece","BTR","Action","Actions","Improving access and sharing of information on climate change impacts and adaptation",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"informational","social"
"1419",1386,1386,1386,1386,"Greece","BTR","Action","Actions","Enhancement of the institutional capacity to plan and implement adaptation policies and measures",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1420",1387,1387,1387,1387,"Greece","BTR","Action","Actions","Enhancement of organizational structures",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1421",1388,1388,1388,1388,"Greece","BTR","Action","Actions","Availability of financial means for the implementation of climate adaptation policies and measures",NA,NA,NA,NA,NA,"Substantive","Economic/financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,"economic","institutional"
"1422",1389,1389,1389,1389,"Greece","BTR","Action","Actions","Development of multisectoral regional and local action plans for climate change adaptation",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1423",1390,1390,1390,1390,"Greece","BTR","Action","Actions","Mainstreaming adaptation to the development planning at regional/local level",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1424",1391,1391,1391,1391,"Greece","BTR","Action","Actions","Mainstreaming adaptation into the sectoral legal and regulatory framework",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laws and regulations","institutional"
"1425",1392,1392,1392,1392,"Greece","BTR","Action","Actions","Mainstreaming adaptation into the sectoral strategies and plans",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1426",1393,1393,1393,1393,"Greece","BTR","Action","Actions","Studies for the specification of sectoral adaptation measures",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"research development","institutional"
"1427",1394,1394,1394,1394,"Greece","BTR","Action","Actions","Implementation of sectoral adaptation measures",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1428",1395,1395,1395,1395,"Greece","BTR","Action","Actions","Development of new or upgrading of existing monitoring systems",NA,NA,NA,NA,NA,"Substantive","Infrastructural/technological",NA,NA,NA,NA,NA,NA,NA,NA,NA,"research development","institutional"
"1429",1396,1396,1396,1396,"Greece","BTR","Action","Actions","Improvement of organizational structures for monitoring",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1430",1397,1397,1397,1397,"Greece","BTR","Action","Actions","Improving sharing of monitoring results",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"informational","social"
"1431",1398,1398,1398,1398,"Greece","BTR","Action","Actions","Development of new or upgrading of existing systems for the evaluation of adaptation actions and policies",NA,NA,NA,NA,NA,"Substantive","Infrastructural/technological",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"1432",1399,1399,1399,1399,"Greece","BTR","Action","Actions","Information and awareness raising of students",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"educational","social"
"1433",1400,1400,1400,1400,"Greece","BTR","Action","Actions","Education of future scientists and professionals (university students)",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"educational","social"
"1434",1401,1401,1401,1401,"Greece","BTR","Action","Actions","Information and capacity building of professional groups working in climate vulnerable sectors",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"educational","social"
"1435",1402,1402,1402,1402,"Greece","BTR","Action","Actions","Information and awareness raising of citizens",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"informational","social"
"1436",1403,1403,1403,1403,"Greece","BTR","Action","Actions","Improvement of access to financial resources",NA,NA,NA,NA,NA,"Substantive","Economic/financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,"economic","institutional"
"1437",1404,1404,1404,1404,"Greece","BTR","Action","Actions","The creation of an online National Adaptation Hub that pools together adaptation relevant data, information, good practices and approaches can also contribute to reaching out to stakeholders, including stakeholders particularly vulnerable to climate change impacts.",NA,NA,NA,NA,NA,"Substantive","Infrastructural/technological",NA,NA,NA,NA,NA,NA,NA,NA,NA,"informational","social"
"1438",1405,1405,1405,1405,"Greece","BTR","Action","Actions","At national level, the main adaptation-related funds have supported the implementation of actions to improve the knowledge, information and awareness on climate change impacts and adaptation (linked to NAS objectives 1 and 5) as well as for adaptation actions in cities and municipalities and in forest areas (NAS objective 3)",NA,NA,NA,NA,NA,"Substantive","Economic/financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,"economic","institutional"
"1439",1406,1406,1406,1406,"Greece","BTR","Action","Actions","GRFU helped the Greek Municipalities to acquire and create green spaces for public use and improve thermal conditions in urban areas",NA,NA,NA,NA,NA,"Substantive","Infrastructural/technological",NA,NA,NA,NA,NA,NA,NA,NA,NA,"green infrastructure","ecosystem based"
"1440",1407,1407,1407,1407,"Greece","BTR","Action","Actions","With respect to the forests, and in the frame of the Forest Protection and Restoration programme, support is given to fire prevention, flood control and anti-erosion measures",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecological restoration","ecosystem based"
"1441",1408,1408,1408,1408,"Greece","BTR","Action","Actions","As of 2018, the GRFU has launched calls addressed to specific actors, such as non-governmental organizations and research/academic bodies that included priorities in relation to increasing the dissemination of information and awareness on climate change adaptation of the Greek society and to covering existing knowledge gaps with respect to vulnerability and adaptation respectively.",NA,NA,NA,NA,NA,"Substantive","Behavioral/cultural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"informational","social"
"1442",1409,1409,1409,1409,"Greece","BTR","Action","Actions","GRFU has provided the national contribution for implementing projects related to adaptation under the EU LIFE Programme",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"economic","institutional"
